flags,instruction,category,response,clean_instruction
BCL,"the payment failed, I want assistance to notify of a problem",PAYMENT,"I'm sorry to hear that your payment failed. I understand how frustrating this can be. Rest assured, I'm here to assist you in resolving the issue and ensuring that your problem is effectively communicated. To provide the necessary assistance, could you please provide more details about the payment failure? This will help us better understand the problem and work towards a solution. Thank you for reaching out, and I appreciate your patience as we work together to resolve this matter.",payment failed want assistance notify problem
LBI,What are the accepted payment methods?,PAYMENT,"We accept a variety of payment methods, including major credit cards (Visa, MasterCard, American Express), PayPal, and sometimes other local payment options. The exact methods available will be displayed during checkout.",accepted payment method
BILQZ,how casn i check at what time i can contact customer support,CONTACT,"Thank you for trusting us! I'm fully aware of you would like to know the available contact hours for our customer support team. You can find the contact hours on our website at {{Website URL}}. Simply navigate to the customer support section, and you will find the hours of operation listed there. If you have any other questions or concerns, feel free to let me know, and I'll be happy to assist you further.",casn check time contact customer support
BIL,how to create a platinum account for my fiance?,ACCOUNT,"Thank you for your interest in creating a {{Account Category}} account for your fiance! It's wonderful to see your commitment to providing them with an exceptional banking experience. To create a {{Account Category}} account, we have a simple and seamless process in place. Firstly, I would need the following information from your fiance: their full name, email address, and a preferred username. Once we have these details, we can proceed with setting up the account. Rest assured, our team is dedicated to ensuring a smooth and secure onboarding process for your fiance. If you need any further assistance or have any questions along the way, I'll be here to guide you both. Let's make this a truly remarkable banking journey for your fiance!",create platinum account fiance
BIL,is it possible to correct my delivery address?,SHIPPING_ADDRESS,"Positively! We can help you with correcting your delivery address. Please provide us with the correct address details, and we will update it for you in our system.",possible correct delivery address
BCLQZ,i amde a mistake i wanna edit order {{Order Number}},ORDER,"We understand that you made a mistake with your order number {{Order Number}} and would like to make some edits. We apologize for any inconvenience this may have caused. To assist you further, could you please provide us with the specific changes you would like to make to your order? Our goal is to ensure that your order meets your expectations. Your feedback is essential in helping us improve our services.",amde mistake wan na edit order
BLME,I need a refund for my recent order ASAP.,REFUND,I see you need a refund for your recent order ASAP. I'll do my best to expedite this for you. Please provide your order number so I can check the status and process your refund request.,need refund recent order asap
BILM,how to purchase several items?,ORDER,"Thank you for your inquiry on how to purchase several items. I'm here to guide you through the process and make it as convenient and seamless as possible. To get started, I recommend visiting our website or app and browsing through our extensive collection of products. Once you find the items you wish to purchase, simply add them to your shopping cart. When you're ready, proceed to the checkout page where you can review your order and provide your shipping and payment details. After confirming your purchase, you will receive an order confirmation with the estimated delivery date. If you have any specific preferences or requirements regarding your order, feel free to let me know, and I'll ensure your needs are met. Happy shopping!",purchase several item
BLQ,How do I set up a new place for deliveries?,SHIPPING_ADDRESS,"To set up a new place for deliveries, please log in to your account, go to 'My Account', and then select 'Shipping Addresses' to add a new one.",set new place delivery
IKLM,Can you display my invoice?,INVOICE,"Yes, I can help you display your invoice. Please log in to your account and navigate to the 'Billing' or 'Invoices' section. Your invoice should be available for viewing there.",display invoice
BILM,where can I request refunds of my money?,REFUND,"I've picked up that you are seeking information on where to request refunds for your money. Our company has a dedicated refunds department that handles such requests. To initiate the refund process, you can reach out to our customer support team through various channels such as phone, email, or live chat. They will guide you through the necessary steps and provide you with the specific details required to submit your refund request. Rest assured, our team is committed to assisting you in obtaining the refund you are entitled to.",request refund money
